UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 19:27 ?        00:00:02 /sbin/init recovery dis_ucode_ldr
root           2       0  0 19:27 ?        00:00:00 [kthreadd]
root           3       2  0 19:27 ?        00:00:00 [rcu_gp]
root           4       2  0 19:27 ?        00:00:00 [rcu_par_gp]
root           5       2  0 19:27 ?        00:00:00 [slub_flushwq]
root           6       2  0 19:27 ?        00:00:00 [netns]
root           8       2  0 19:27 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 19:27 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 19:27 ?        00:00:00 [rcu_tasks_kthread]
root          12       2  0 19:27 ?        00:00:00 [rcu_tasks_rude_kthread]
root          13       2  0 19:27 ?        00:00:00 [rcu_tasks_trace_kthread]
root          14       2  0 19:27 ?        00:00:00 [ksoftirqd/0]
root          15       2  0 19:27 ?        00:00:00 [rcu_preempt]
root          16       2  0 19:27 ?        00:00:00 [migration/0]
root          17       2  0 19:27 ?        00:00:00 [idle_inject/0]
root          19       2  0 19:27 ?        00:00:00 [cpuhp/0]
root          20       2  0 19:27 ?        00:00:00 [kdevtmpfs]
root          21       2  0 19:27 ?        00:00:00 [inet_frag_wq]
root          22       2  0 19:27 ?        00:00:00 [kauditd]
root          23       2  0 19:27 ?        00:00:00 [khungtaskd]
root          25       2  0 19:27 ?        00:00:00 [oom_reaper]
root          26       2  0 19:27 ?        00:00:00 [writeback]
root          28       2  0 19:27 ?        00:00:00 [kcompactd0]
root          29       2  0 19:27 ?        00:00:00 [ksmd]
root          30       2  0 19:27 ?        00:00:00 [khugepaged]
root          31       2  0 19:27 ?        00:00:00 [kintegrityd]
root          32       2  0 19:27 ?        00:00:00 [kblockd]
root          33       2  0 19:27 ?        00:00:00 [blkcg_punt_bio]
root          34       2  0 19:27 ?        00:00:00 [tpm_dev_wq]
root          35       2  0 19:27 ?        00:00:00 [ata_sff]
root          36       2  0 19:27 ?        00:00:00 [md]
root          37       2  0 19:27 ?        00:00:00 [edac-poller]
root          38       2  0 19:27 ?        00:00:00 [devfreq_wq]
root          39       2  0 19:27 ?        00:00:00 [watchdogd]
root          40       2  0 19:27 ?        00:00:01 [kworker/0:1H-kblockd]
root          41       2  0 19:27 ?        00:00:00 [kswapd0]
root          42       2  0 19:27 ?        00:00:00 [ecryptfs-kthread]
root          48       2  0 19:27 ?        00:00:00 [kthrotld]
root          52       2  0 19:27 ?        00:00:00 [acpi_thermal_pm]
root          53       2  0 19:27 ?        00:00:00 [xenbus_probe]
root          54       2  0 19:27 ?        00:00:00 [scsi_eh_0]
root          55       2  0 19:27 ?        00:00:00 [scsi_tmf_0]
root          56       2  0 19:27 ?        00:00:00 [scsi_eh_1]
root          57       2  0 19:27 ?        00:00:00 [scsi_tmf_1]
root          58       2  0 19:27 ?        00:00:00 [vfio-irqfd-clea]
root          61       2  0 19:27 ?        00:00:00 [mld]
root          62       2  0 19:27 ?        00:00:00 [ipv6_addrconf]
root          67       2  0 19:27 ?        00:00:00 [kstrp]
root          73       2  0 19:27 ?        00:00:00 [zswap-shrink]
root          74       2  0 19:27 ?        00:00:00 [kworker/u3:0]
root         120       2  0 19:27 ?        00:00:00 [charger_manager]
root         165       2  0 19:27 ?        00:00:00 [scsi_eh_2]
root         166       2  0 19:27 ?        00:00:00 [scsi_tmf_2]
root         187       2  0 19:27 ?        00:00:00 [jbd2/sda3-8]
root         188       2  0 19:27 ?        00:00:00 [ext4-rsv-conver]
root         228       1  0 19:27 ?        00:00:00 /lib/systemd/systemd-journald
root         263       1  0 19:27 ?        00:00:00 /lib/systemd/systemd-udevd
root         296       2  0 19:27 ?        00:00:00 [cryptd]
systemd+     372       1  0 19:27 ?        00:00:00 /lib/systemd/systemd-timesyncd
message+     397       1  0 19:27 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         770       1  0 19:28 ?        00:00:00 /usr/libexec/accounts-daemon
avahi        774       1  0 19:28 ?        00:00:00 avahi-daemon: running [Cyber.local]
root         779       1  0 19:28 ?        00:00:00 /usr/sbin/cron -f -P
